Region,Date,Median Sale Price,Homes Sold,New Listings,Inventory,Inventory MoM ,Days on Market,Days on Market MoM,Days on Market YoY
"DuPont, WA",9/30/2017,$286K,19,17,12,-14.30%,36,14,24
"DuPont, WA",10/31/2017,$319K,15,15,11,-8.30%,10,-26,-7
"DuPont, WA",11/30/2017,$244K,10,9,8,-27.30%,14,4,-12
"DuPont, WA",12/31/2017,$313K,20,18,7,-12.50%,10,-4,-15
"DuPont, WA",1/31/2018,$306K,14,22,7,0.00%,8,-2,-2
"DuPont, WA",2/28/2018,$320K,25,40,17,142.90%,5,-3,-17
"DuPont, WA",3/31/2018,$342K,22,29,12,-29.40%,6,1,2
"DuPont, WA",4/30/2018,$359K,31,47,26,116.70%,4,-2,-1
"DuPont, WA",5/31/2018,$341K,30,44,22,-15.40%,4,0,-2
"DuPont, WA",6/30/2018,$352K,50,27,25,13.60%,6,2,0
"DuPont, WA",7/31/2018,$355K,30,25,25,0.00%,16,10,2
"DuPont, WA",8/31/2018,$374K,21,16,14,-44.00%,17,1,-5
"DuPont, WA",9/30/2018,$330K,33,20,9,-35.70%,20,3,-16
"DuPont, WA",10/31/2018,$317K,14,10,9,0.00%,10,-10,0
"DuPont, WA",11/30/2018,$265K,9,10,10,11.10%,8,-2,-6
"DuPont, WA",12/31/2018,$322K,13,20,12,20.00%,39,31,29
"DuPont, WA",1/31/2019,$347K,9,19,13,8.30%,14,-25,6
"DuPont, WA",2/28/2019,$337K,19,24,8,-38.50%,8,-6,3
"DuPont, WA",3/31/2019,$353K,30,36,11,37.50%,7,-1,1
"DuPont, WA",4/30/2019,$375K,35,33,17,54.50%,4,-3,0
"DuPont, WA",5/31/2019,$365K,29,30,14,-17.60%,5,1,1
"DuPont, WA",6/30/2019,$388K,29,23,11,-21.40%,9,4,3
"DuPont, WA",7/31/2019,$350K,25,17,9,-18.20%,8,-1,-8
"DuPont, WA",8/31/2019,$385K,22,36,9,0.00%,7,-1,-10
"DuPont, WA",9/30/2019,$350K,17,11,7,-22.20%,4,-3,-16
"DuPont, WA",10/31/2019,$340K,22,6,1,-85.70%,5,1,-5
"DuPont, WA",11/30/2019,$362K,15,24,4,300.00%,12,7,4
"DuPont, WA",12/31/2019,$354K,18,18,6,50.00%,5,-7,-34
"DuPont, WA",1/31/2020,$365K,13,13,4,-33.30%,3,-2,-11
"DuPont, WA",2/29/2020,$406K,14,20,7,75.00%,4,1,-4
"DuPont, WA",3/31/2020,$373K,20,21,14,100.00%,3,-1,-4
"DuPont, WA",4/30/2020,$421K,17,20,9,-35.70%,2,-1,-2
"DuPont, WA",5/31/2020,$379K,18,31,6,-33.30%,3,1,-2
"DuPont, WA",6/30/2020,$410K,39,26,8,33.30%,3,0,-6
"DuPont, WA",7/31/2020,$415K,28,18,12,50.00%,3,0,-5
"DuPont, WA",8/31/2020,$408K,16,18,7,-41.70%,6,3,-1
"DuPont, WA",9/30/2020,$410K,21,17,5,-28.60%,4,-2,0
"DuPont, WA",10/31/2020,$425K,15,9,2,-60.00%,5,1,0
"DuPont, WA",11/30/2020,$430K,19,8,1,-50.00%,6,1,-6
"DuPont, WA",12/31/2020,$445K,8,10,,,5,-1,0
"DuPont, WA",1/31/2021,$448K,10,17,4,,3,-2,0
"Edmonds, WA",1/31/2012,$320K,40,77,221,0.50%,95,46,-18
"Edmonds, WA",2/29/2012,$320K,53,69,196,-11.30%,82,-13,0
"Edmonds, WA",3/31/2012,$300K,75,94,188,-4.10%,91,9,4
"Edmonds, WA",4/30/2012,$325K,81,104,201,6.90%,47,-44,7
"Edmonds, WA",5/31/2012,$358K,78,97,195,-3.00%,21,-26,-32
"Edmonds, WA",6/30/2012,$311K,80,93,190,-2.60%,24,3,-45
"Edmonds, WA",7/31/2012,$339K,82,78,178,-6.30%,31,7,-38
"Edmonds, WA",8/31/2012,$302K,75,58,172,-3.40%,25,-6,-32
"Edmonds, WA",9/30/2012,$314K,61,51,138,-19.80%,47,22,-50
"Edmonds, WA",10/31/2012,$332K,57,46,111,-19.60%,29,-18,-58
"Edmonds, WA",11/30/2012,$336K,69,40,104,-6.30%,45,16,-20
"Edmonds, WA",12/31/2012,$313K,52,61,102,-1.90%,31,-14,-18
"Edmonds, WA",1/31/2013,$321K,43,99,133,30.40%,59,28,-36
"Edmonds, WA",2/28/2013,$315K,54,94,144,8.30%,25,-34,-57
"Edmonds, WA",3/31/2013,$340K,94,112,142,-1.40%,16,-9,-75
"Edmonds, WA",4/30/2013,$342K,99,129,169,19.00%,13,-3,-34
"Edmonds, WA",5/31/2013,$365K,103,87,160,-5.30%,11,-2,-10
"Edmonds, WA",6/30/2013,$344K,98,118,191,19.40%,12,1,-12
"Edmonds, WA",7/31/2013,$371K,94,100,193,1.00%,17,5,-14
"Edmonds, WA",8/31/2013,$360K,77,94,205,6.20%,19,2,-6
"Edmonds, WA",9/30/2013,$335K,65,86,191,-6.80%,16,-3,-31
"Edmonds, WA",10/31/2013,$332K,71,49,155,-18.80%,29,13,0
"Edmonds, WA",11/30/2013,$373K,66,36,141,-9.00%,36,7,-9
"Edmonds, WA",12/31/2013,$275K,40,82,148,5.00%,58,22,27
"Edmonds, WA",1/31/2014,$365K,57,69,157,6.10%,62,4,3
"Edmonds, WA",2/28/2014,$305K,73,90,158,0.60%,24,-38,-1
"Edmonds, WA",3/31/2014,$365K,67,113,167,5.70%,12,-12,-4
"Edmonds, WA",4/30/2014,$355K,85,125,179,7.20%,13,1,0
"Edmonds, WA",5/31/2014,$385K,103,120,190,6.10%,14,1,3
"Edmonds, WA",6/30/2014,$381K,110,112,210,10.50%,12,-2,0
"Edmonds, WA",7/31/2014,$390K,78,98,200,-4.80%,22,10,5
"Edmonds, WA",8/31/2014,$399K,85,90,194,-3.00%,17,-5,-2
"Edmonds, WA",9/30/2014,$396K,86,90,194,0.00%,32,15,16
"Edmonds, WA",10/31/2014,$390K,44,50,166,-14.40%,32,0,3
"Edmonds, WA",11/30/2014,$410K,71,32,135,-18.70%,38,6,2
"Edmonds, WA",12/31/2014,$384K,52,58,122,-9.60%,51,13,-7
"Edmonds, WA",1/31/2015,$365K,49,71,119,-2.50%,23,-28,-39
"Edmonds, WA",2/28/2015,$428K,86,100,115,-3.40%,35,12,11
"Edmonds, WA",3/31/2015,$436K,91,116,132,14.80%,9,-26,-3
"Edmonds, WA",4/30/2015,$425K,84,120,140,6.10%,8,-1,-5
"Edmonds, WA",5/31/2015,$441K,111,133,167,19.30%,9,1,-5
"Edmonds, WA",6/30/2015,$437K,96,116,159,-4.80%,14,5,2
"Edmonds, WA",7/31/2015,$430K,119,113,158,-0.60%,13,-1,-9
"Edmonds, WA",8/31/2015,$397K,82,73,149,-5.70%,14,1,-3
"Edmonds, WA",9/30/2015,$435K,79,89,136,-8.70%,25,11,-7
"Edmonds, WA",10/31/2015,$448K,62,62,121,-11.00%,20,-5,-12
"Edmonds, WA",11/30/2015,$439K,95,45,86,-28.90%,23,3,-15
"Edmonds, WA",12/31/2015,$461K,67,63,78,-9.30%,30,7,-21
"Edmonds, WA",1/31/2016,$397K,58,85,83,6.40%,11,-19,-12
"Edmonds, WA",2/29/2016,$428K,79,106,83,0.00%,11,0,-24
"Edmonds, WA",3/31/2016,$446K,102,131,98,18.10%,7,-4,-2
"Edmonds, WA",4/30/2016,$488K,102,123,108,10.20%,9,2,1
"Edmonds, WA",5/31/2016,$463K,101,130,137,26.90%,8,-1,-1
"Edmonds, WA",6/30/2016,$506K,108,130,138,0.70%,11,3,-3
"Edmonds, WA",7/31/2016,$437K,128,128,145,5.10%,9,-2,-4
"Edmonds, WA",8/31/2016,$433K,95,98,150,3.40%,9,0,-5
"Edmonds, WA",9/30/2016,$470K,79,74,133,-11.30%,9,0,-16
"Edmonds, WA",10/31/2016,$443K,76,67,118,-11.30%,16,7,-4
"Edmonds, WA",11/30/2016,$444K,87,31,73,-38.10%,26,10,3
"Edmonds, WA",12/31/2016,$460K,59,51,71,-2.70%,39,13,9
"Edmonds, WA",1/31/2017,$431K,42,57,54,-23.90%,12,-27,1
"Edmonds, WA",2/28/2017,$509K,81,102,57,5.60%,7,-5,-4
"Edmonds, WA",3/31/2017,$575K,93,103,62,8.80%,7,0,0
"Edmonds, WA",4/30/2017,$551K,114,143,80,29.00%,7,0,-2
"Edmonds, WA",5/31/2017,$530K,124,150,98,22.50%,7,0,-1
"Edmonds, WA",6/30/2017,$552K,110,124,106,8.20%,10,3,-1
"Edmonds, WA",7/31/2017,$561K,111,107,94,-11.30%,8,-2,-1
"Edmonds, WA",8/31/2017,$570K,96,100,118,25.50%,8,0,-1
"Edmonds, WA",9/30/2017,$525K,78,84,107,-9.30%,7,-1,-2
"Edmonds, WA",10/31/2017,$555K,80,58,75,-29.90%,15,8,-1
"Edmonds, WA",11/30/2017,$503K,86,45,55,-26.70%,16,1,-10
"Edmonds, WA",12/31/2017,$552K,52,58,50,-9.10%,10,-6,-29
"Edmonds, WA",1/31/2018,$560K,57,69,49,-2.00%,7,-3,-5
"Edmonds, WA",2/28/2018,$540K,83,115,68,38.80%,7,0,0
"Edmonds, WA",3/31/2018,$650K,88,118,79,16.20%,7,0,0
"Edmonds, WA",4/30/2018,$638K,111,171,129,63.30%,7,0,0
"Edmonds, WA",5/31/2018,$590K,115,144,132,2.30%,7,0,0
"Edmonds, WA",6/30/2018,$568K,146,122,130,-1.50%,8,1,-2
"Edmonds, WA",7/31/2018,$615K,99,107,143,10.00%,11,3,3
"Edmonds, WA",8/31/2018,$583K,82,120,177,23.80%,10,-1,2
"Edmonds, WA",9/30/2018,$593K,77,80,160,-9.60%,16,6,9
"Edmonds, WA",10/31/2018,$552K,70,53,126,-21.30%,29,13,14
"Edmonds, WA",11/30/2018,$555K,66,20,94,-25.40%,43,14,27
"Edmonds, WA",12/31/2018,$492K,48,51,71,-24.50%,55,12,45
"Edmonds, WA",1/31/2019,$580K,63,82,96,35.20%,26,-29,19
"Edmonds, WA",2/28/2019,$555K,73,126,103,7.30%,12,-14,5
"Edmonds, WA",3/31/2019,$575K,104,126,126,22.30%,8,-4,1
"Edmonds, WA",4/30/2019,$580K,103,139,177,40.50%,7,-1,0
"Edmonds, WA",5/31/2019,$623K,82,109,182,2.80%,13,6,6
"Edmonds, WA",6/30/2019,$593K,108,97,155,-14.80%,15,2,7
"Edmonds, WA",7/31/2019,$584K,110,91,145,-6.50%,18,3,7
"Edmonds, WA",8/31/2019,$583K,72,99,161,11.00%,25,7,15
"Edmonds, WA",9/30/2019,$595K,91,77,151,-6.20%,17,-8,1
"Edmonds, WA",10/31/2019,$523K,69,39,99,-34.40%,40,23,11
"Edmonds, WA",11/30/2019,$553K,78,26,62,-37.40%,39,-1,-4
"Edmonds, WA",12/31/2019,$570K,47,52,53,-14.50%,38,-1,-17
"Edmonds, WA",1/31/2020,$623K,58,46,41,-22.60%,21,-17,-5
"Edmonds, WA",2/29/2020,$574K,62,79,70,70.70%,7,-14,-5
"Edmonds, WA",3/31/2020,$610K,39,79,74,5.70%,5,-2,-3
"Edmonds, WA",4/30/2020,$621K,70,93,85,14.90%,10,5,3
"Edmonds, WA",5/31/2020,$631K,85,98,88,3.50%,7,-3,-6
"Edmonds, WA",6/30/2020,$712K,99,126,94,6.80%,7,0,-8
"Edmonds, WA",7/31/2020,$638K,109,141,99,5.30%,7,0,-11
"Edmonds, WA",8/31/2020,$685K,121,127,98,-1.00%,7,0,-18
"Edmonds, WA",9/30/2020,$701K,137,117,84,-14.30%,6,-1,-11
"Edmonds, WA",10/31/2020,$686K,98,65,56,-33.30%,7,1,-33
"Edmonds, WA",11/30/2020,$643K,96,41,33,-41.10%,10,3,-29
"Edmonds, WA",12/31/2020,$695K,60,60,32,-3.00%,7,-3,-31
"Edmonds, WA",1/31/2021,$745K,58,74,37,15.60%,7,0,-14
"Everett, WA",1/31/2012,$181K,126,203,552,1.10%,56,-3,-49
"Everett, WA",2/29/2012,$187K,151,194,512,-7.20%,63,7,-14
"Everett, WA",3/31/2012,$200K,150,177,481,-6.10%,63,0,-38
"Everett, WA",4/30/2012,$190K,172,220,473,-1.70%,54,-9,-4
"Everett, WA",5/31/2012,$185K,187,226,495,4.70%,46,-8,-9
"Everett, WA",6/30/2012,$200K,167,166,466,-5.90%,35,-11,-17
"Everett, WA",7/31/2012,$212K,188,186,460,-1.30%,46,11,-22
"Everett, WA",8/31/2012,$216K,158,148,423,-8.00%,27,-19,-22
"Everett, WA",9/30/2012,$229K,149,202,417,-1.40%,33,6,-26
"Everett, WA",10/31/2012,$216K,134,150,372,-10.80%,25,-8,-51
"Everett, WA",11/30/2012,$210K,172,110,351,-5.60%,29,4,-30
"Everett, WA",12/31/2012,$202K,116,165,333,-5.10%,50,21,-9
"Everett, WA",1/31/2013,$220K,139,191,352,5.70%,36,-14,-20
"Everett, WA",2/28/2013,$234K,186,272,349,-0.90%,39,3,-24
"Everett, WA",3/31/2013,$230K,209,209,334,-4.30%,20,-19,-43
"Everett, WA",4/30/2013,$248K,217,261,378,13.20%,18,-2,-36
"Everett, WA",5/31/2013,$244K,212,247,408,7.90%,13,-5,-33
"Everett, WA",6/30/2013,$255K,205,258,464,13.70%,15,2,-20
"Everett, WA",7/31/2013,$260K,185,214,474,2.20%,15,0,-31
"Everett, WA",8/31/2013,$254K,178,186,472,-0.40%,16,1,-11
"Everett, WA",9/30/2013,$242K,187,182,455,-3.60%,24,8,-9
"Everett, WA",10/31/2013,$245K,145,144,435,-4.40%,36,12,11
"Everett, WA",11/30/2013,$250K,155,103,407,-6.40%,35,-1,6
"Everett, WA",12/31/2013,$227K,100,146,363,-10.80%,34,-1,-16
"Everett, WA",1/31/2014,$242K,109,177,367,1.10%,56,22,20
"Everett, WA",2/28/2014,$260K,161,196,358,-2.50%,40,-16,1
"Everett, WA",3/31/2014,$227K,184,236,378,5.60%,26,-14,6
"Everett, WA",4/30/2014,$251K,192,279,400,5.80%,19,-7,1
"Everett, WA",5/31/2014,$247K,192,249,459,14.80%,20,1,7
"Everett, WA",6/30/2014,$265K,209,250,507,10.50%,16,-4,1
"Everett, WA",7/31/2014,$265K,181,255,528,4.10%,21,5,6
"Everett, WA",8/31/2014,$273K,187,209,517,-2.10%,29,8,13
"Everett, WA",9/30/2014,$275K,201,219,515,-0.40%,32,3,8
"Everett, WA",10/31/2014,$268K,137,117,431,-16.30%,27,-5,-9
"Everett, WA",11/30/2014,$274K,170,118,393,-8.80%,41,14,6
"Everett, WA",12/31/2014,$265K,137,180,360,-8.40%,43,2,9
"Everett, WA",1/31/2015,$261K,134,217,369,2.50%,47,4,-9
"Everett, WA",2/28/2015,$280K,196,285,346,-6.20%,30,-17,-10
"Everett, WA",3/31/2015,$310K,231,254,344,-0.60%,14,-16,-12
"Everett, WA",4/30/2015,$305K,244,307,374,8.70%,17,3,-2
"Everett, WA",5/31/2015,$296K,261,287,399,6.70%,13,-4,-7
"Everett, WA",6/30/2015,$295K,241,328,441,10.50%,15,2,-1
"Everett, WA",7/31/2015,$299K,248,252,452,2.50%,14,-1,-7
"Everett, WA",8/31/2015,$285K,241,225,446,-1.30%,21,7,-8
"Everett, WA",9/30/2015,$299K,222,179,383,-14.10%,24,3,-8
"Everett, WA",10/31/2015,$284K,162,127,280,-26.90%,32,8,5
"Everett, WA",11/30/2015,$280K,240,105,244,-12.90%,32,0,-9
"Everett, WA",12/31/2015,$296K,124,185,216,-11.50%,37,5,-6
"Everett, WA",1/31/2016,$298K,168,197,205,-5.10%,16,-21,-31
"Everett, WA",2/29/2016,$310K,222,251,217,5.90%,13,-3,-17
"Everett, WA",3/31/2016,$316K,204,284,240,10.60%,7,-6,-7
"Everett, WA",4/30/2016,$330K,256,298,255,6.30%,8,1,-9
"Everett, WA",5/31/2016,$330K,262,322,279,9.40%,7,-1,-6
"Everett, WA",6/30/2016,$319K,274,269,296,6.10%,9,2,-6
"Everett, WA",7/31/2016,$325K,247,312,326,10.10%,13,4,-1
"Everett, WA",8/31/2016,$323K,220,259,369,13.20%,13,0,-8
"Everett, WA",9/30/2016,$330K,216,166,293,-20.60%,13,0,-11
"Everett, WA",10/31/2016,$327K,202,131,238,-18.80%,22,9,-10
"Everett, WA",11/30/2016,$328K,182,109,175,-26.50%,21,-1,-11
"Everett, WA",12/31/2016,$316K,163,162,166,-5.10%,32,11,-5
"Everett, WA",1/31/2017,$330K,145,188,148,-10.80%,17,-15,1
"Everett, WA",2/28/2017,$344K,206,256,149,0.70%,9,-8,-4
"Everett, WA",3/31/2017,$347K,171,269,182,22.10%,7,-2,0
"Everett, WA",4/30/2017,$350K,273,365,227,24.70%,6,-1,-2
"Everett, WA",5/31/2017,$371K,299,395,304,33.90%,7,1,0
"Everett, WA",6/30/2017,$360K,278,303,330,8.60%,7,0,-2
"Everett, WA",7/31/2017,$360K,311,366,354,7.30%,8,1,-5
"Everett, WA",8/31/2017,$360K,286,282,349,-1.40%,15,7,2
"Everett, WA",9/30/2017,$355K,281,218,278,-20.30%,17,2,4
"Everett, WA",10/31/2017,$375K,245,168,210,-24.50%,19,2,-3
"Everett, WA",11/30/2017,$358K,249,100,132,-37.10%,20,1,-1
"Everett, WA",12/31/2017,$363K,150,198,123,-6.80%,20,0,-12
"Everett, WA",1/31/2018,$376K,198,207,98,-20.30%,7,-13,-10
"Everett, WA",2/28/2018,$406K,237,290,125,27.60%,7,0,-2
"Everett, WA",3/31/2018,$410K,239,288,169,35.20%,6,-1,-1
"Everett, WA",4/30/2018,$416K,277,358,227,34.30%,6,0,0
"Everett, WA",5/31/2018,$400K,285,293,259,14.10%,7,1,0
"Everett, WA",6/30/2018,$400K,237,293,309,19.30%,8,1,1
"Everett, WA",7/31/2018,$400K,241,286,364,17.80%,10,2,2
"Everett, WA",8/31/2018,$394K,208,250,407,11.80%,15,5,0
"Everett, WA",9/30/2018,$395K,199,201,377,-7.40%,21,6,4
"Everett, WA",10/31/2018,$395K,191,165,314,-16.70%,24,3,5
"Everett, WA",11/30/2018,$390K,163,79,236,-24.80%,40,16,20
"Everett, WA",12/31/2018,$380K,126,183,216,-8.50%,35,-5,15
"Everett, WA",1/31/2019,$405K,181,129,182,-15.70%,25,-10,18
"Everett, WA",2/28/2019,$405K,173,216,191,4.90%,15,-10,8
"Everett, WA",3/31/2019,$400K,198,255,203,6.30%,10,-5,4
"Everett, WA",4/30/2019,$420K,243,340,268,32.00%,6,-4,0
"Everett, WA",5/31/2019,$429K,247,249,277,3.40%,8,2,1
"Everett, WA",6/30/2019,$409K,234,275,302,9.00%,10,2,2
"Everett, WA",7/31/2019,$430K,220,219,275,-8.90%,14,4,4
"Everett, WA",8/31/2019,$410K,222,221,275,0.00%,18,4,3
"Everett, WA",9/30/2019,$417K,191,187,238,-13.50%,16,-2,-5
"Everett, WA",10/31/2019,$398K,185,130,172,-27.70%,20,4,-4
"Everett, WA",11/30/2019,$433K,182,88,117,-32.00%,20,0,-20
"Everett, WA",12/31/2019,$406K,106,158,129,10.30%,20,0,-15
"Everett, WA",1/31/2020,$418K,130,161,123,-4.70%,8,-12,-17
"Everett, WA",2/29/2020,$435K,174,214,164,33.30%,6,-2,-9
"Everett, WA",3/31/2020,$440K,139,184,205,25.00%,6,0,-4
"Everett, WA",4/30/2020,$450K,141,251,204,-0.50%,8,2,2
"Everett, WA",5/31/2020,$475K,236,224,172,-15.70%,8,0,0
"Everett, WA",6/30/2020,$489K,255,304,183,6.40%,9,1,-1
"Everett, WA",7/31/2020,$495K,242,316,203,10.90%,7,-2,-7
"Everett, WA",8/31/2020,$500K,298,271,150,-26.10%,7,0,-11
"Everett, WA",9/30/2020,$465K,286,275,164,9.30%,6,-1,-10
"Everett, WA",10/31/2020,$473K,237,133,110,-32.90%,6,0,-14
"Everett, WA",11/30/2020,$485K,215,134,73,-33.60%,8,2,-12
"Everett, WA",12/31/2020,$473K,171,154,56,-23.30%,6,-2,-14
"Everett, WA",1/31/2021,$479K,144,172,63,12.50%,6,0,-2
"Federal Way, WA",1/31/2012,$159K,62,96,336,-4.00%,54,-18,-5
"Federal Way, WA",2/29/2012,$175K,80,120,312,-7.10%,94,40,-11
"Federal Way, WA",3/31/2012,$154K,92,109,312,0.00%,61,-33,-21
"Federal Way, WA",4/30/2012,$183K,104,120,308,-1.30%,36,-25,-35
"Federal Way, WA",5/31/2012,$207K,94,100,284,-7.80%,24,-12,-57
"Federal Way, WA",6/30/2012,$170K,109,84,274,-3.50%,49,25,-21
"Federal Way, WA",7/31/2012,$189K,81,103,275,0.40%,44,-5,-40
"Federal Way, WA",8/31/2012,$210K,84,101,285,3.60%,38,-6,-29
"Federal Way, WA",9/30/2012,$208K,89,103,273,-4.20%,50,12,-2
"Federal Way, WA",10/31/2012,$208K,78,83,248,-9.20%,32,-18,-47
"Federal Way, WA",11/30/2012,$177K,78,60,235,-5.20%,38,6,-18
"Federal Way, WA",12/31/2012,$178K,61,96,233,-0.90%,27,-11,-45
"Federal Way, WA",1/31/2013,$205K,61,88,213,-8.60%,49,22,-5
"Federal Way, WA",2/28/2013,$197K,84,120,206,-3.30%,41,-8,-53
"Federal Way, WA",3/31/2013,$208K,94,113,224,8.70%,22,-19,-39
"Federal Way, WA",4/30/2013,$225K,104,120,222,-0.90%,31,9,-5
"Federal Way, WA",5/31/2013,$231K,110,135,255,14.90%,27,-4,3
"Federal Way, WA",6/30/2013,$228K,94,119,265,3.90%,19,-8,-30
"Federal Way, WA",7/31/2013,$239K,104,137,310,17.00%,29,10,-15
"Federal Way, WA",8/31/2013,$229K,80,112,318,2.60%,43,14,5
"Federal Way, WA",9/30/2013,$224K,104,88,289,-9.10%,34,-9,-16
"Federal Way, WA",10/31/2013,$229K,82,57,250,-13.50%,52,18,20
"Federal Way, WA",11/30/2013,$270K,71,75,249,-0.40%,57,5,19
"Federal Way, WA",12/31/2013,$225K,60,90,237,-4.80%,46,-11,19
"Federal Way, WA",1/31/2014,$217K,64,83,221,-6.80%,89,43,40
"Federal Way, WA",2/28/2014,$236K,88,110,208,-5.90%,38,-51,-3
"Federal Way, WA",3/31/2014,$230K,102,121,209,0.50%,37,-1,15
"Federal Way, WA",4/30/2014,$263K,111,142,234,12.00%,38,1,7
"Federal Way, WA",5/31/2014,$250K,97,140,253,8.10%,18,-20,-9
"Federal Way, WA",6/30/2014,$236K,121,115,270,6.70%,20,2,1
"Federal Way, WA",7/31/2014,$240K,87,131,290,7.40%,32,12,3
"Federal Way, WA",8/31/2014,$252K,77,117,296,2.10%,29,-3,-14
"Federal Way, WA",9/30/2014,$247K,110,96,291,-1.70%,33,4,-1
"Federal Way, WA",10/31/2014,$238K,80,67,252,-13.40%,55,22,3
"Federal Way, WA",11/30/2014,$254K,99,70,233,-7.50%,49,-6,-8
"Federal Way, WA",12/31/2014,$248K,70,95,201,-13.70%,50,1,4
"Federal Way, WA",1/31/2015,$253K,86,83,185,-8.00%,62,12,-27
"Federal Way, WA",2/28/2015,$251K,96,120,204,10.30%,36,-26,-2
"Federal Way, WA",3/31/2015,$247K,97,157,215,5.40%,18,-18,-19
"Federal Way, WA",4/30/2015,$278K,103,146,217,0.90%,20,2,-18
"Federal Way, WA",5/31/2015,$274K,130,169,252,16.10%,15,-5,-3
"Federal Way, WA",6/30/2015,$272K,151,164,257,2.00%,15,0,-5
"Federal Way, WA",7/31/2015,$281K,119,151,274,6.60%,20,5,-12
"Federal Way, WA",8/31/2015,$275K,119,119,265,-3.30%,17,-3,-12
"Federal Way, WA",9/30/2015,$286K,120,105,234,-11.70%,22,5,-11
"Federal Way, WA",10/31/2015,$294K,90,73,207,-11.50%,39,17,-16
"Federal Way, WA",11/30/2015,$270K,107,65,180,-13.00%,30,-9,-19
"Federal Way, WA",12/31/2015,$280K,85,88,161,-10.60%,35,5,-15
"Federal Way, WA",1/31/2016,$270K,87,96,141,-12.40%,32,-3,-30
"Federal Way, WA",2/29/2016,$305K,115,133,138,-2.10%,24,-8,-12
"Federal Way, WA",3/31/2016,$300K,112,166,161,16.70%,9,-15,-9
"Federal Way, WA",4/30/2016,$300K,125,177,187,16.10%,10,1,-10
"Federal Way, WA",5/31/2016,$308K,137,203,233,24.60%,10,0,-5
"Federal Way, WA",6/30/2016,$300K,140,196,256,9.90%,9,-1,-6
"Federal Way, WA",7/31/2016,$313K,168,197,272,6.30%,18,9,-2
"Federal Way, WA",8/31/2016,$307K,147,147,272,0.00%,14,-4,-3
"Federal Way, WA",9/30/2016,$310K,137,105,239,-12.10%,21,7,-1
"Federal Way, WA",10/31/2016,$317K,112,90,200,-16.30%,30,9,-9
"Federal Way, WA",11/30/2016,$316K,122,58,167,-16.50%,35,5,5
"Federal Way, WA",12/31/2016,$326K,102,97,138,-17.40%,39,4,4
"Federal Way, WA",1/31/2017,$343K,92,92,104,-24.60%,55,16,23
"Federal Way, WA",2/28/2017,$345K,117,123,111,6.70%,16,-39,-8
"Federal Way, WA",3/31/2017,$345K,112,148,134,20.70%,7,-9,-2
"Federal Way, WA",4/30/2017,$350K,139,183,158,17.90%,8,1,-2
"Federal Way, WA",5/31/2017,$359K,151,214,214,35.40%,8,0,-2
"Federal Way, WA",6/30/2017,$326K,126,161,214,0.00%,10,2,1
"Federal Way, WA",7/31/2017,$351K,162,174,231,7.90%,8,-2,-10
"Federal Way, WA",8/31/2017,$340K,137,134,215,-6.90%,17,9,3
"Federal Way, WA",9/30/2017,$335K,152,119,192,-10.70%,20,3,-1
"Federal Way, WA",10/31/2017,$349K,99,90,141,-26.60%,25,5,-5
"Federal Way, WA",11/30/2017,$359K,122,52,98,-30.50%,31,6,-4
"Federal Way, WA",12/31/2017,$350K,91,91,85,-13.30%,17,-14,-22
"Federal Way, WA",1/31/2018,$343K,88,90,75,-11.80%,11,-6,-44
"Federal Way, WA",2/28/2018,$375K,107,131,97,29.30%,7,-4,-9
"Federal Way, WA",3/31/2018,$370K,107,142,113,16.50%,7,0,0
"Federal Way, WA",4/30/2018,$382K,134,188,151,33.60%,7,0,-1
"Federal Way, WA",5/31/2018,$375K,121,187,184,21.90%,7,0,-1
"Federal Way, WA",6/30/2018,$359K,152,183,226,22.80%,9,2,-1
"Federal Way, WA",7/31/2018,$370K,159,180,272,20.40%,12,3,4
"Federal Way, WA",8/31/2018,$349K,107,151,265,-2.60%,15,3,-2
"Federal Way, WA",9/30/2018,$356K,132,108,221,-16.60%,21,6,1
"Federal Way, WA",10/31/2018,$358K,128,88,187,-15.40%,33,12,8
"Federal Way, WA",11/30/2018,$361K,95,51,155,-17.10%,46,13,15
"Federal Way, WA",12/31/2018,$370K,63,90,133,-14.20%,31,-15,14
"Federal Way, WA",1/31/2019,$349K,80,64,114,-14.30%,44,13,33
"Federal Way, WA",2/28/2019,$389K,87,147,130,14.00%,13,-31,6
"Federal Way, WA",3/31/2019,$397K,112,126,130,0.00%,9,-4,2
"Federal Way, WA",4/30/2019,$408K,124,197,176,35.40%,10,1,3
"Federal Way, WA",5/31/2019,$405K,145,154,185,5.10%,9,-1,2
"Federal Way, WA",6/30/2019,$398K,135,162,186,0.50%,15,6,6
"Federal Way, WA",7/31/2019,$405K,147,148,182,-2.20%,10,-5,-2
"Federal Way, WA",8/31/2019,$405K,133,118,166,-8.80%,18,8,3
"Federal Way, WA",9/30/2019,$395K,139,102,150,-9.60%,14,-4,-7
"Federal Way, WA",10/31/2019,$394K,98,49,83,-44.70%,18,4,-15
"Federal Way, WA",11/30/2019,$400K,95,54,65,-21.70%,29,11,-17
"Federal Way, WA",12/31/2019,$413K,80,59,50,-23.10%,11,-18,-20
"Federal Way, WA",1/31/2020,$410K,69,110,70,40.00%,18,7,-26
"Federal Way, WA",2/29/2020,$415K,80,150,104,48.60%,5,-13,-8
"Federal Way, WA",3/31/2020,$435K,85,100,102,-1.90%,5,0,-4
